Saida,numero de simulaçoes,evacuação media,tempo
5,10,69.8,27.92
8,10,54.6,21.840000000000003
10,10,61.3,24.52
11,10,65.8,26.32
12,10,63.2,25.28
13,10,61.0,24.400000000000002
14,10,60.0,24.0
15,10,69.3,27.72
16,10,75.9,30.360000000000003
17,10,87.6,35.04
18,10,81.7,32.68
20,10,77.3,30.92
22,10,75.5,30.200000000000003
23,10,96.8,38.72
24,10,53.5,21.400000000000002
25,10,56.9,22.76
26,10,58.0,23.200000000000003
27,10,60.1,24.040000000000003
28,10,52.3,20.92
29,10,55.7,22.28
30,10,51.6,20.64
