Saida,numero de simulaçoes,evacuação media,tempo
5,10,67.5,27.0
8,10,54.5,21.8
10,10,61.8,24.72
11,10,68.4,27.360000000000003
12,10,62.2,24.880000000000003
13,10,62.8,25.12
14,10,59.9,23.96
15,10,67.9,27.160000000000004
16,10,74.2,29.680000000000003
17,10,88.5,35.4
18,10,82.1,32.839999999999996
20,10,76.0,30.400000000000002
22,10,75.6,30.24
23,10,96.6,38.64
24,10,53.6,21.44
25,10,56.1,22.44
26,10,60.3,24.12
27,10,60.4,24.16
28,10,52.6,21.040000000000003
29,10,56.9,22.76
30,10,51.8,20.72
